[(2, 'A', 'C'),
 (8, 'B', 'D'),
 (12, 'D', 'C'),
 (19, 'C', 'B'),
 (28, 'A', 'D'),
 (29, 'C', 'B'),
 (32, 'D', 'B'),
 (38, 'A', 'D'),
 (50, 'D', 'A'),
 (51, 'C', 'D'),
 (54, 'A', 'C'),
 (66, 'D', 'A'),
 (71, 'D', 'C'),
 (74, 'D', 'C'),
 (75, 'A', 'C'),
 (89, 'B', 'A'),
 (98, 'B', 'A'),
 (99, 'D', 'C'),
 (103, 'B', 'D'),
 (108, 'C', 'D'),
 (109, 'A', 'C'),
 (116, 'A', 'D'),
 (117, 'A', 'D'),
 (125, 'B', 'A'),
 (128, 'D', 'B'),
 (133, 'D', 'A'),
 (134, 'A', 'D'),
 (137, 'A', 'B'),
 (138, 'A', 'B'),
 (140, 'A', 'C'),
 (141, 'D', 'A'),
 (146, 'C', 'A'),
 (148, 'D', 'A'),
 (154, 'B', 'A'),
 (166, 'U', 'A'),
 (168, 'A', 'C'),
 (174, 'A', 'B'),
 (178, 'A', 'D'),
 (191, 'A', 'B'),
 (192, 'A', 'D'),
 (194, 'A', 'C'),
 (195, 'D', 'B'),
 (200, 'C', 'D'),
 (203, 'D', 'A'),
 (211, 'D', 'B'),
 (213, 'A', 'B'),
 (216, 'B', 'C'),
 (232, 'D', 'A'),
 (235, 'D', 'B'),
 (237, 'D', 'A'),
 (250, 'B', 'D'),
 (256, 'A', 'D'),
 (261, 'C', 'B'),
 (262, 'A', 'B'),
 (270, 'D', 'C'),
 (277, 'D', 'C'),
 (282, 'A', 'C'),
 (285, 'D', 'A'),
 (293, 'C', 'A'),
 (294, 'B', 'A'),
 (296, 'A', 'D'),
 (297, 'D', 'C'),
 (299, 'C', 'A'),
 (300, 'A', 'B'),
 (303, 'D', 'A'),
 (304, 'A', 'C'),
 (305, 'C', 'A'),
 (306, 'A', 'C'),
 (307, 'C', 'B'),
 (308, 'B', 'C'),
 (309, 'C', 'B'),
 (311, 'D', 'A'),
 (312, 'A', 'B'),
 (313, 'B', 'D'),
 (314, 'D', 'B'),
 (315, 'A', 'C'),
 (317, 'C', 'B'),
 (318, 'A', 'B'),
 (320, 'B', 'A'),
 (321, 'C', 'D'),
 (322, 'D', 'B'),
 (323, 'B', 'C'),
 (324, 'C', 'D'),
 (325, 'A', 'C'),
 (326, 'C', 'A'),
 (327, 'A', 'D'),
 (328, 'D', 'C'),
 (329, 'C', 'D'),
 (330, 'B', 'A'),
 (332, 'B', 'D'),
 (339, 'B', 'A'),
 (340, 'D', 'C'),
 (341, 'C', 'B'),
 (353, 'B', 'A'),
 (354, 'D', 'B'),
 (355, 'D', 'A'),
 (356, 'D', 'A'),
 (358, 'A', 'B'),
 (366, 'A', 'B'),
 (367, 'D', 'C'),
 (369, 'A', 'B'),
 (377, 'A', 'C'),
 (388, 'A', 'C'),
 (392, 'D', 'B'),
 (407, 'D', 'B'),
 (409, 'A', 'D'),
 (411, 'D', 'B'),
 (412, 'C', 'A'),
 (416, 'D', 'A'),
 (417, 'B', 'C'),
 (419, 'D', 'C'),
 (420, 'D', 'C'),
 (422, 'D', 'C'),
 (424, 'D', 'A'),
 (430, 'C', 'A'),
 (431, 'A', 'B'),
 (434, 'A', 'B'),
 (435, 'A', 'C'),
 (438, 'D', 'A'),
 (440, 'A', 'C'),
 (443, 'A', 'D'),
 (445, 'D', 'B'),
 (452, 'D', 'A'),
 (458, 'D', 'C'),
 (470, 'C', 'B'),
 (475, 'B', 'D'),
 (479, 'D', 'A'),
 (487, 'B', 'D'),
 (491, 'B', 'A'),
 (497, 'D', 'C')]
