[(8, 'B', 'D'),
 (19, 'D', 'B'),
 (25, 'A', 'B'),
 (27, 'B', 'A'),
 (29, 'C', 'B'),
 (92, 'A', 'C'),
 (99, 'D', 'C'),
 (109, 'D', 'C'),
 (122, 'B', 'A'),
 (125, 'B', 'A'),
 (128, 'D', 'B'),
 (137, 'A', 'B'),
 (140, 'B', 'C'),
 (148, 'D', 'A'),
 (154, 'B', 'A'),
 (167, 'B', 'C'),
 (172, 'D', 'C'),
 (178, 'A', 'D'),
 (192, 'A', 'D'),
 (194, 'A', 'C'),
 (203, 'D', 'A'),
 (223, 'A', 'D'),
 (230, 'A', 'D'),
 (232, 'B', 'A'),
 (235, 'A', 'B'),
 (237, 'D', 'A'),
 (238, 'D', 'C'),
 (241, 'A', 'D'),
 (250, 'B', 'D'),
 (254, 'A', 'B'),
 (256, 'A', 'D'),
 (261, 'C', 'B'),
 (262, 'A', 'B'),
 (277, 'D', 'C'),
 (279, 'A', 'B'),
 (293, 'C', 'A'),
 (310, 'D', 'B'),
 (317, 'A', 'B'),
 (329, 'B', 'D'),
 (333, 'A', 'D'),
 (339, 'B', 'A'),
 (341, 'C', 'B'),
 (343, 'B', 'A'),
 (354, 'D', 'B'),
 (355, 'C', 'A'),
 (358, 'A', 'B'),
 (369, 'A', 'B'),
 (374, 'A', 'C'),
 (404, 'B', 'D'),
 (409, 'A', 'D'),
 (412, 'C', 'A'),
 (417, 'B', 'C'),
 (418, 'B', 'A'),
 (420, 'D', 'C'),
 (422, 'A', 'C'),
 (431, 'C', 'B'),
 (440, 'A', 'C'),
 (445, 'D', 'B'),
 (447, 'B', 'D'),
 (450, 'C', 'A'),
 (460, 'C', 'B'),
 (470, 'C', 'B'),
 (475, 'A', 'D'),
 (479, 'D', 'A'),
 (488, 'A', 'B'),
 (497, 'D', 'C')]
